"CNTYBNA","FACTOR1","FACTOR2","FACTOR3","JA","CT89_91","POPU","HomiRate","LnHomiRate","xcoord","ycoord","poverty","public_assistance","female_headed","unemployment","new_residents","renter-occupied","no_high_school","crowded_households","black","latino"
"0317110",0.4983,-0.5593,1.1451,0.8857,4,3482,114.87650775416428,4.752525035703536,356966.0453291427,563413.4317305279,17.7354,35.8999,17.2172,8.6624,30.19,41.0198,37.1742,7.5342,98.4505,0.7628
"0317111",0.349,-0.8324,1.1255,0.8912,3,3527,85.05812305075135,4.455022917397475,356162.1079312605,563392.3123681293,12.4818,21.0649,14.3011,11.2721,29.62,42.87,32.1678,4.0359,99.7381,0.611
"0317112",0.1411,-0.6013,1.7107,0.9406,10,6070,164.74464579901152,5.1104483256725,355198.0388649468,563507.4956649122,13.3291,17.3688,14.6471,7.5382,20.62,24.9869,26.3955,10.4987,94.0742,0.8016
"0317113",0.3632,-0.3186,1.4166,0.9184,2,2173,92.03865623561896,4.53301506523873,355406.5510596492,562727.5154147027,12.7208,16.9022,23.5602,11.5356,25.83,32.4864,29.5327,15.0635,99.6466,6.4782
"0317114",0.3987,-0.5722,1.6021,0.9826,1,3638,27.48763056624519,3.349469977843272,356687.1896668832,562740.6592127943,12.3756,31.9963,16.1465,10.3686,28.3,23.1201,35.7462,7.5196,99.4403,0.4664
"0317115",0.1835,-0.656,1.6418,1.0281,3,3908,76.76560900716478,4.353699289844561,357792.35127307556,562621.7755467364,13.5215,25.8287,8.8076,9.7651,31.21,14.6425,34.9409,5.4484,98.8841,3.7085
"0317201",-0.8401,-1.2435,1.6461999,1.0419,1,3326,30.066145520144318,3.436118657780081,354796.31966274587,562060.1816781929,1.6497,2.1827,3.3557,4.1797,23.2,6.8383,5.6059,0.5632,22.7919,4.9747
"0317202",-0.4983,-1.2859,1.1104,1.039,1,4922,20.316944331572532,3.059502264990712,355547.00212647417,560450.7491507522,6.3759,4.7767,10.1462,5.2049,30,22.6968,8.8642,1.3423,47.1651,3.5514
"0317203",-0.9274,-1.2192,1.525,1.0292,0,3635,0,0,354615.9048643416,560537.2803707464,1.8915,0.9457,2.9712,3.0605,26.09,6.2745,6.3682,1.0196,16.7994,4.3554
"0317204",-0.9799,-0.9488,1.8502001,0.9841,0,2379,0,0,353824.20174690196,560095.3786868926,0.8731,4.3657,4.3088,1.8758,19.64,3.6835,12.1612,2.0464,0,4.6738
"0317205",-0.8089,-1.1352,1.0093,0.9664,0,2205,0,0,353628.7035238645,559299.2433289542,5.2428,6.7469,7.7295,4.7309,33.44,16.3546,6.9655,2.2472,0,3.6957
"0317206",-1.0152,-1.2617,1.582,1.0217,1,1819,54.97526113249038,4.024909827636784,354617.89206739154,559309.4605835382,2.8345,0,4.4872,0.9331,21.46,7.9646,3.3058,0,6.6893,5.8957
"0317207",-0.4384,-1.3083,0.2525,0.979,0,4165,0,0,355624.45684729476,559347.4590506006,4.9524,11.2759,10.6982,4.2439,39.9,48.4396,12.2735,1.0176,41.0185,3.1897
"0317301",-0.0626,-0.6938,2.3945999,1.0394,2,3205,62.402496099843994,4.149503231328176,357826.0997024681,561811.474095332,9.1974,14.8467,6.5369,6.7353,14.33,4.9683,26.6497,7.2939,98.381,1.5845
"0317302",0.2672,-0.7846,1.0912,0.9682,4,10033,39.86843416724808,3.710357984320787,356562.69136572216,561964.5615154966,11.6275,20.1323,17.5425,8.4945,29.62,40.9713,29.3199,6.8378,99.3479,1.5246
"0317303",0.5607,-0.7021,1.8322999,0.9826,0,1135,0,0,355646.3348621456,562050.4523705705,10.2582,25.1919,16.0606,20.2147,24.45,18.9376,23.4581,8.3141,96.8597,0.6281
"0317304",0.2094,-0.748,1.9799,1.0096999,4,4356,91.82736455463728,4.530741472990925,356669.14266518946,560983.7856775976,14.8862,22.6196,11.3503,8.8819,18.9,16.6921,27.6663,5.7927,97.0739,0.7431
"0317305",0.0667,-0.7093,2.1473,1.0947,3,4634,64.73888649115236,4.185690630020709,357849.9788218497,560601.234791473,6.8533,22.305,8.7812,8.4723,20.6,8.3955,29.5391,6.4055,98.2912,1.1816
"0317306",0.1963,-0.8254,1.9141001,1.0501,0,4889,0,0,356839.2272459428,560182.3796986502,10.0119,25.9453,12.5479,9.0645,23.59,11.6505,26.2437,5.8252,99.7622,0.6421
"0317307",0.3496,-0.4858,1.9220001,1.0529,3,3721,80.6234883095942,4.402117067481383,356873.35656417627,559346.4296540933,20.0834,28.5615,12.5,9.5346,22.39,15.0579,33.0849,9.1377,99.4441,1.2508
"0317401",-0.9571,-0.7883,1.4133,0.9103,0,3924,0,0,352841.8573947832,558694.822803042,3.3677,3.4284,3.8835,2.1065,29.22,11.882,23.6737,1.1962,0,6.068
"0317402",-1.0453,-1.0579,1.2792,0.9689,0,5682,0,0,351662.7596195012,559508.1444499145,3.8387,1.5873,4.0273,1.1924,33.01,5.0076,13.5593,0.9611,0.9232,4.8105
"0317403",-0.9537,-0.869,1.5187,0.9263,0,4585,0,0,351836.3206055731,558436.8445921218,1.9612,2.3121,5.7371,2.4659,25.17,11.1932,16.4788,2.2159,0,6.6061
"0317404",-0.7502,-0.792,1.1888,0.9169,3,5350,56.074766355140184,4.044362098761229,351117.54797571036,557560.5356267525,7.2148,5.8582,7.1713,3.3547,27.4,25.8342,21.6289,2.2605,3.6177,5.0155
"0317501",0.4421,-0.6953,1.5632,0.9779,5,4928,101.46103896103897,4.62948261862204,356722.959735607,558545.0355386826,17.3116,28.0133,16.0093,12.2705,27.59,22.5869,29.3146,7.1429,99.2409,0.5184
"0317502",-0.2668,-1.1822,1.1517,1.0009,3,3443,87.13331397037467,4.478850599608657,355102.25194618874,558516.9132298946,5.6316,12.7099,13.7072,5.5215,24.73,34.824,13.6179,1.393,53.3712,2.9708
"0317503",-0.9152,-1.0574,1.2522,0.9369,0,1942,0,0,353885.7637831869,558478.9872000698,1.0212,2.8744,5.9406,2.359,25.05,21.9235,8.7189,2.3785,4.1604,6.6566
"0317504",-0.9545,-0.9354,1.2691,0.9288,0,3862,0,0,353979.22062439466,557393.1332899095,3.126,5.9706,1.8564,2.3476,30.86,12.3195,13.3958,3.5684,3.4073,5.1267
"0317505",0.0213,-0.9366,0.9429,0.9741,4,6001,66.65555740709881,4.214429500645511,355124.8647032596,557286.5446032209,12.7933,23.4027,18.4796,5.4511,34.59,29.9098,22.413,5.0601,73.1002,3.1282
"0317506",0.3029,-0.7452,1.7388999,0.9393,9,5093,176.7131356764186,5.180170652948703,356713.9834952737,557746.1821682026,16.1716,27.7434,16.1485,7.6498,22.53,20.8975,29.318,5.8942,98.3086,0.7219
"0317608",-0.9497,-0.8414,-0.4792,1.22,1,12022,8.318083513558475,2.231956975959987,340345.5267551817,588154.895079361,3.0322,2.8674,4.223,2.5887,50.97,63.5831,21.0336,1.1719,1.31,26.1543
